Commune;Population standardisée par la consommation de soins de médecine générale par tranche d'âge;APL aux médecins généralistes
02122;54,92192569;2,937679477
02123;305,6086792;2,790657365
02124;667,5627071;2,483778768
02125;204,4372926;1,440531268
02126;483,3975139;1,878851278
02127;192,702401;2,550594943
02128;1568,75409;2,764847281
02129;19,2462875;1,653381947
02130;203,2067945;3,939616242
02131;1937,590451;3,677676005
02132;187,7214875;3,905046175
02133;410,6565194;2,122344115
02134;893,5549113;3,567133411
02135;1203,978395;2,337115545
02136;125,2198794;3,087307696
02137;137,0179269;1,709537973
02138;189,4872503;2,781839266
02139;441,5546593;2,227240038
02140;443,3071268;1,877820075
02141;1868,418607;3,909635178
02142;234,3232055;2,76471965
02143;193,7716382;3,297673108
02144;134,2557296;1,559293715
02145;539,1318544;2,763808905
02146;91,86759763;3,132004157
02148;254,2530505;3,261072663
02149;63,8779885;4,672263442
02150;62,69403833;1,572627953
02151;118,8630003;3,87946838
02152;92,24162013;2,592474892
02153;755,6257643;3,001244503
02154;352,429464;2,09597941
02155;176,6548988;3,07520989
02156;246,8404381;2,211415684
02157;873,9520796;3,976315532
02158;264,0789808;1,626639041
02159;292,0023791;2,301083847
02160;551,7755283;2,67579619
02162;261,1762613;2,598130329
02163;2625,900525;1,937742611
02164;315,6502807;3,863054459
02165;1691,858773;2,618617642
02166;351,0673207;4,108525473
02167;849,9314039;2,743748414
02168;15182,00249;3,508557458
02169;85,37366771;2,272829268
02170;128,0271946;3,600796217
02171;87,84354462;1,646884594
02172;232,4245279;3,135342997
02173;11974,67042;3,008087643
02174;798,513613;3,241246101
02175;152,2581877;1,13037586
02176;193,5427323;2,421261524
02177;148,4797524;2,891514748
02178;99,22855712;1,416808526
02179;388,2405435;2,300927263
02180;691,9599383;2,730979755
02181;80,28567844;4,364435643
02182;127,8467549;2,075360152
02183;187,3093953;1,460802477
02184;382,8191213;2,148152373
02185;395,4119795;1,770446904
02186;1460,952373;3,502535631
02187;1172,542264;3,901791618
02188;165,1711538;2,932937639
02189;363,4074725;2,673983713
02190;544,0969218;3,029766591
02191;502,7108566;4,638613802
02192;347,5479473;1,648797129
02193;71,86927383;2,298350939
02194;204,7916352;3,28115895
02195;875,6056856;4,284368755
02196;320,3708979;4,423643405
02197;551,7346145;4,485987546
02198;227,080781;2,975503939
02199;622,7220183;2,321355301
02200;118,7010968;3,5113317
02201;502,2434488;1,572278652
02203;1285,805059;2,190001283
02204;76,78611539;2,210797236
02205;237,1544487;1,470958207
02206;81,52196162;1,839690348
02207;208,8363928;2,360803468
02208;267,3441057;3,0466073
02209;687,5240439;2,183879134
02210;354,1189344;3,355271365
02211;293,9515306;2,929748497
02212;723,7855571;4,170974656
02213;325,9204898;3,558509978
02214;57,50066086;2,535473428
02215;806,2487637;3,239475251
02216;305,3072876;1,804036909
02217;1047,084185;2,075025487
02218;618,2713506;2,585218375
