codgeo;libgeo;an;apl_mg_65_hmep
29126;Pont-de-Buis-lès-Quimerch;2018;4,10
29127;Plomelin;2018;3,40
29128;Plougonvelin;2018;3,50
29129;Riec-sur-Bélon;2018;3,90
29130;Milizac-Guipronvel;2018;3,30
29131;Carantec;2018;2,90
29201;Locmaria-Plouzané;2018;3,60
29202;Plouigneau;2018;3,60
29203;Porspoder;2018;3,00
29204;Scaër;2018;2,80
29205;Châteaulin;2018;4,70
29206;Bannalec;2018;3,40
29207;Plonéour-Lanvern;2018;3,50
29208;Ploudalmézeau;2018;3,50
29209;Crozon;2018;4,30
29210;Plouhinec-Audierne;2018;5,30
29211;Rosporden;2018;3,80
29212;Briec;2018;3,10
29213;Guilers;2018;5,30
29214;Saint-Renan;2018;5,10
29215;Plabennec;2018;3,80
29301;Moëlan-sur-Mer;2018;3,60
29302;Landivisiau;2018;4,00
29303;Plouguerneau-Lannilis;2018;3,60
29304;Saint-Pol-de-Léon;2018;3,00
29305;Lesneven;2018;4,30
29306;Douarnenez;2018;2,50
29307;Quimperlé;2018;4,10
29308;Pont-l'Abbé;2018;4,30
29309;Landerneau;2018;3,90
29401;Penmarch;2018;3,60
29402;Fouesnant;2018;4,00
29403;Morlaix;2018;3,90
29404;Concarneau;2018;4,30
29501;Quimper;2018;4,30
29701;Brest;2018;4,80
2A101;Bonifacio;2018;2,10
2A102;Grosseto-Prugna;2018;4,00
2A103;Sartène;2018;2,70
2A104;Albitreccia;2018;4,80
2A105;Bastelicaccia;2018;2,80
2A106;Propriano;2018;3,70
2A301;Porto-Vecchio;2018;5,00
2A501;Ajaccio;2018;3,30
2B101;Prunelli-di-Fiumorbo;2018;5,10
2B102;Ghisonaccia;2018;3,80
2B103;L'Île-Rousse;2018;5,10
2B201;Calvi;2018;3,70
2B202;Corte;2018;2,70
2B203;Penta-di-Casinca;2018;3,30
2B401;Borgo;2018;4,00
2B501;Bastia;2018;3,40
30101;Saint-Victor-la-Coste;2018;1,90
30102;Fons;2018;3,40
30103;La Calmette;2018;4,00
30104;Aubord;2018;3,50
30105;Le Cailar;2018;3,80
30106;Saint-Jean-du-Gard;2018;3,40
30107;Connaux;2018;3,20
30108;Saint-Quentin-la-Poterie;2018;2,90
30109;Saint-Laurent-d'Aigouze;2018;4,70
30110;Quissac;2018;4,60
30111;Saint-Geniès-de-Malgoirès;2018;3,50
30112;Jonquières-Saint-Vincent;2018;2,70
30113;Poulx;2018;2,30
30114;Saint-Hippolyte-du-Fort;2018;4,70
30115;Générac;2018;3,00
30116;Aramon;2018;3,80
30117;Clarensac;2018;3,10
30118;Bessèges;2018;3,70
30119;Beauvoisin;2018;2,80
30120;Garons;2018;4,10
30121;Langlade;2018;3,40
30201;Saint-Laurent-des-Arbres;2018;3,10
30202;Roquemaure;2018;2,50
30203;Aimargues;2018;5,50
30204;Calvisson;2018;4,00
30205;Bezouce;2018;3,90
30206;Pujaut;2018;2,40
30207;Bouillargues;2018;4,40
30208;Le Vigan;2018;3,90
30209;Bellegarde;2018;3,50
30210;Rochefort-du-Gard;2018;2,70
30211;Sommières;2018;3,10
30212;Aigues-Mortes;2018;3,30
30213;Vergèze;2018;4,70
30214;La Grand-Combe;2018;2,10
30301;Manduel;2018;3,30
30302;Vauvert;2018;3,40
30303;Uzès;2018;4,30
30304;Montfrin;2018;3,90
30305;Saint-Gilles;2018;2,50
30306;Pont-Saint-Esprit;2018;3,00
30401;Bagnols-sur-Cèze;2018;3,30
30501;Alès;2018;4,00
30601;Nîmes;2018;4,20
31101;Le Fauga;2018;4,90
31102;Lévignac;2018;3,10
31103;Boussens;2018;3,70
31104;Saint-Sulpice-sur-Lèze;2018;3,90
31105;Montgiscard;2018;3,60
31106;Caraman;2018;2,00
31107;Labastidette;2018;4,00
31108;Rieux;2018;3,60
31109;Martres-Tolosane;2018;4,00
31110;Ayguesvives;2018;4,20
31111;Salies-du-Salat;2018;2,00
31112;Buzet-sur-Tarn;2018;4,30
31113;Bérat;2018;3,40
31114;Montesquieu-Volvestre;2018;3,20
31115;Lavernose-Lacasse;2018;4,30
31116;Lauzerville;2018;3,90
31117;Baziège;2018;3,70
31118;Rieumes;2018;2,40
31119;Verfeil;2018;2,30
